Organization,Categories,Location,FundingAmount,FundingType,EquityAmount,Status,Investors,Founded,Period,Quarter,investor_1,investor_2,investor_3,investor_4,investor_5,region_1,region_2,region_3
HeraSpace,"Artificial Intelligence, Biotechnology, Blockchain, Food Processing, Government","London, England, United Kingdom",123074.0,Seed,123074.0,Seed,,2016.0,2018-03,20181Q,,,,,,European Union (EU),,
WhaleLend,"Blockchain, Cryptocurrency, Mobile Payments","Helsinki, Southern Finland, Finland",371781.0,Pre-Seed,371781.0,Seed,2.0,2018.0,2018-01,20181Q,Icebreaker.vc, Taaleri,,,,European Union (EU), Nordic Countries, Scandinavia
KIWATCH,"Hardware, Internet, Security, Software","Orvault, Pays de la Loire, France",3591021.0,Venture - Series Unknown,3591021.0,,3.0,2011.0,2018-01,20181Q,Entrepreneur Venture, Groupe Siparex, Pays de la Loire Participations,,,European Union (EU),,
Logisee,"Blockchain, Cryptocurrency, Logistics, Supply Chain Management","London, England, United Kingdom",15000.0,Seed,15000.0,Seed,,2018.0,2018-03,20181Q,,,,,,European Union (EU),,
Guanguan Coin,Blockchain,"Seattle, Washington, United States",6000000.0,Series A,6000000.0,Early Stage Venture,1.0,2018.0,2018-01,20181Q,Sequoia Capital China,,,,,Greater Seattle Area, West Coast, Western US
Circadian Risk Inc.,"Apps, Security, Software","Ann Arbor, Michigan, United States",300000.0,Seed,300000.0,Seed,,2016.0,2018-03,20181Q,,,,,,Great Lakes, Midwestern US,
RoadPass Payments & Urban Mobility Ltda.,"Banking, Bitcoin, Credit Cards, Cryptocurrency, Debit Cards, Internet of Things, Mobile Payments, Payments, Transaction Processing","São Paulo, Sao Paulo, Brazil",550000.0,Angel,550000.0,Seed,,2016.0,2018-01,20181Q,,,,,,,,
iconicchain,"Blockchain, Compliance, FinTech","Helsinki, Southern Finland, Finland",65000.0,Seed,65000.0,Seed,1.0,2017.0,2018-01,20181Q,Tekes,,,,,European Union (EU), Nordic Countries, Scandinavia
Larecoin,"Cryptocurrency, Education, Financial Services, Payments","Reno, Nevada, United States",100000.0,Seed,100000.0,Seed,,2018.0,2018-06,20182Q,,,,,,Western US,,
PENTESTON,"Cyber Security, Information Services, Penetration Testing, SaaS, Security, Skill Assessment","West Caldwell, New Jersey, United States",500000.0,Convertible Note,,,,2015.0,2018-06,20182Q,,,,,,Greater New York Area, East Coast, Northeastern US
Arctic Blockchain,"Accounting, Blockchain, Cryptocurrency","Toronto, Ontario, Canada",7793169.0,Venture - Series Unknown,7793169.0,,,,2018-03,20181Q,,,,,,Great Lakes,,
LoopKey,"Cyber Security, Hardware, Internet of Things, Mobile Devices","Brasília, Rio Grande do Norte, Brazil",200000.0,Seed,200000.0,Seed,,2016.0,2018-03,20181Q,,,,,,,,
Morpheus Labs,"Blockchain, Information Technology","Singapore, Central Region, Singapore",6000000.0,Initial Coin Offering,6000000.0,,,2017.0,2018-02,20181Q,,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
inCyber Compliance,"Cloud Security, Compliance, Cyber Security, GovTech, Privacy, Risk Management, Security","Chicago, Illinois, United States",50000.0,Pre-Seed,50000.0,Seed,,2017.0,2018-03,20181Q,,,,,,Greater Chicago Area, Great Lakes, Midwestern US
Bibu Labs,"Computer, Cyber Security, Enterprise, Software","Kitchener, Ontario, Canada",25000.0,Grant,62141.0,Seed,1.0,2017.0,2018-03,20181Q,Velocity,,,,,Great Lakes,,
Faceter,"Analytics, Artificial Intelligence, Facial Recognition, SaaS, Security, Smart Building, Smart Home","San Jose, California, United States",28610352.0,Initial Coin Offering,28610352.0,,1.0,2014.0,2018-02,20181Q,James Sowers,,,,,San Francisco Bay Area, Silicon Valley, West Coast
siOPTICA,"Hardware, Privacy, Software","Jena, Thuringen, Germany",4987294.0,Debt Financing,,,3.0,2013.0,2018-02,20181Q,bm-t beteiligungsmanagement thüringen, Constantia New Business, High-Tech Gründerfonds,,,European Union (EU),,
Indeco,"Blockchain, Internet, Security, Service Industry","Reston, Virginia, United States",171287.0,Equity Crowdfunding,171287.0,,1.0,2017.0,2018-01,20181Q,StartEngine,,,,,Washington DC Metro Area, East Coast, Southern US
BitStash,"Bitcoin, Cryptocurrency, Ethereum, Payments, Security","Oloron-sainte-marie, Aquitaine, France",10000.0,Seed,10000.0,Seed,,2018.0,2018-06,20182Q,,,,,,European Union (EU),,
PrivyID,"Digital Signage, Identity Management","Kedoya Selatan, Jakarta Raya, Indonesia",3000000.0,Series A,3000000.0,Early Stage Venture,4.0,2016.0,2018-03,20181Q,Gunung Sewu Group, Mahanusa Capital, Mandiri Capital Indonesia (MCI), MDI Ventures,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Alt Lending,"Blockchain, Financial Services, FinTech, Information Technology","New York, New York, United States",1010000.0,Venture - Series Unknown,1010000.0,,,2017.0,2018-04,20182Q,,,,,,Greater New York Area, East Coast, Northeastern US
Simdaq,"Cryptocurrency, Software, Trading Platform","Limassol, Limassol, Cyprus",5000000.0,Initial Coin Offering,5000000.0,,,,2018-01,20181Q,,,,,,European Union (EU),,
KOINKOIN,"Cryptocurrency, FinTech","London, England, United Kingdom",100000.0,Seed,100000.0,Seed,,2017.0,2018-02,20181Q,,,,,,European Union (EU),,
Plato Trade,"Bitcoin, Cryptocurrency, Trading Platform","Kyiv, Kyyiv, Ukraine",250000.0,Seed,250000.0,Seed,1.0,2018.0,2018-04,20182Q,Seven Arrows Venture Capital,,,,,,,
Prosa Security,"Consulting, Cyber Security, Information Technology","Oslo, Oslo, Norway",62554.0,Grant,,,1.0,2015.0,2018-02,20181Q,EASME - EU Executive Agency for SMEs,,,,,Nordic Countries, Scandinavia,
IAME,"Blockchain, Compliance, Identity Management, Information Technology, Software","Quatre Bornes, Plaines Wilhems, Mauritius",100000.0,Seed,100000.0,Seed,2.0,2017.0,2018-02,20181Q,Jonathan Evrard, Ka'resh Eswar,,,,,,
Luther Systems,"Bitcoin, Blockchain, Cryptocurrency, Information Technology","London, England, United Kingdom",1500000.0,Seed,1500000.0,Seed,9.0,2016.0,2018-03,20181Q,Aviva Ventures, Firstminute Capital, Founders Factory, Natalie Massenet, Serge Chiaramonte,European Union (EU),,
SafeSurv,"Big Data, Event Management, Food and Beverage, Hospitality, Identity Management, Internet of Things, SaaS","Nashville, Tennessee, United States",100000.0,Seed,100000.0,Seed,1.0,2016.0,2018-05,20182Q,Martha Kosa,,,,,Southern US,,
Dellfer,"Cyber Security, Internet of Things, Software","San Mateo, California, United States",2000000.0,Seed,2000000.0,Seed,3.0,2016.0,2018-04,20182Q,Denso, Mason Ng, Sand Hill Angels,,,San Francisco Bay Area, Silicon Valley, West Coast
Badrap,"Cyber Security, Information Technology, Security","Oulu, Oulu, Finland",299054.0,Seed,299054.0,Seed,1.0,2017.0,2018-01,20181Q,Ääkköset Oy,,,,,European Union (EU), Nordic Countries, Scandinavia
Funtrench,"Blockchain, Information Technology, Software Engineering, Training","Nairobi, Nairobi Area, Kenya",25000.0,Seed,25000.0,Seed,1.0,2018.0,2018-05,20182Q,Positrust LLC,,,,,,,
"FSA Technologies, Inc.","Computer, Network Security","Santa Clara, California, United States",400000.0,Venture - Series Unknown,400000.0,,,2015.0,2018-03,20181Q,,,,,,San Francisco Bay Area, Silicon Valley, West Coast
HiHi!,"B2B, B2C, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Internet, Mobile","Tallinn, Harjumaa, Estonia",120000.0,Pre-Seed,120000.0,Seed,,2018.0,2018-03,20181Q,,,,,,European Union (EU),,
One.Thing.Less Ltd.,"Mobile Apps, Privacy","Freienbach, Schwyz, Switzerland",267588.0,Seed,267588.0,Seed,,2018.0,2018-04,20182Q,,,,,,,,
Earnly,"Advertising, Blockchain, Financial Services, Gift Card, Internet, Loyalty Programs, Market Research, Marketing, Social Media Marketing, Virtual Currency","Las Vegas, Nevada, United States",5000.0,Pre-Seed,5000.0,Seed,1.0,2017.0,2018-04,20182Q,Austin Hamilton,,,,,Western US,,
"Extra Duty, Inc.","Information Technology, Mobile Apps, SaaS, Security, Software","San Jose, California, United States",300000.0,Debt Financing,,,1.0,2018.0,2018-02,20181Q,Jade Global, Inc.,,,,San Francisco Bay Area, Silicon Valley, West Coast
Crypto Cashout,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, FinTech, Virtual Currency","Norman, Oklahoma, United States",10000.0,Seed,10000.0,Seed,1.0,2018.0,2018-05,20182Q,The University of Oklahoma Foundation,,,,,Southern US,,
Common Interest,"Blockchain, Cryptocurrency","San Francisco, California, United States",150000.0,Seed,150000.0,Seed,,2018.0,2018-06,20182Q,,,,,,San Francisco Bay Area, West Coast, Western US
CYKEEP Ltd.,"Artificial Intelligence, Cyber Security","London, England, United Kingdom",22000.0,Pre-Seed,22000.0,Seed,,2018.0,2018-06,20182Q,,,,,,European Union (EU),,
Cypaw,"Cyber Security, SaaS","Welwyn Garden City, Hertford, United Kingdom",204134.0,Seed,204134.0,Seed,1.0,2018.0,2018-05,20182Q,AlphaBeta Investments,,,,,European Union (EU),,
Crugo,"Apps, Information Technology, Internet of Things, Messaging, Network Security, Service Industry, Software","Cheltenham, Gloucestershire, United Kingdom",237827.0,Equity Crowdfunding,237827.0,,1.0,2016.0,2018-01,20181Q,Crowdcube,,,,,European Union (EU),,
QuickSafety,"Apps, Compliance, Electronics","Brisbane, Queensland, Australia",400000.0,Seed,400000.0,Seed,1.0,2016.0,2018-05,20182Q,BlueChilli,,,,,Asia-Pacific (APAC), Australasia,
CoinMetro,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Finance, Financial Exchanges, Financial Services, FinTech, Virtual Currency","Tallinn, Harjumaa, Estonia",14804852.0,Initial Coin Offering,14804852.0,,,2017.0,2018-04,20182Q,,,,,,European Union (EU),,
Trip.io,"Apps, Blockchain, Travel","Singapore, Central Region, Singapore",16000000.0,Series A,16000000.0,Early Stage Venture,8.0,,2018-02,20181Q,Ceyuan Ventures, FREES FUND, Genesis Capital, INBlockchain, Node Capital,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
BluePex,Security,"Limeira, Sao Paulo, Brazil",841892.0,Series A,841892.0,Early Stage Venture,1.0,,2018-05,20182Q,Inseed Investimentos,,,,,,,
AlgoTrader,"Bitcoin, Consulting, Cryptocurrency, Information Technology, Software, Trading Platform","Zürich, Zurich, Switzerland",1471829.0,Seed,1471829.0,Seed,1.0,2014.0,2018-03,20181Q,NeueCapital Partners,,,,,,,
SHE Software,"Cyber Security, Information Technology, Security, Software","Kilbride, Argyll and Bute, United Kingdom",4199927.0,Private Equity,4199927.0,Private Equity,1.0,1996.0,2018-02,20181Q,NVM Private Equity,,,,,European Union (EU),,
ParkENT Cycles,"Electric Vehicle, Infrastructure, Internet of Things, Landscaping, Last Mile Transportation, Mobile Payments, Physical Security, Public Transportation, Security, Smart Building, Transportation","Marietta, Georgia, United States",20000.0,Seed,20000.0,Seed,1.0,2012.0,2018-03,20181Q,Flashpoint at Georgia Tech,,,,,Greater Atlanta Area, East Coast, Southern US
Dora Network,"Blockchain, Cryptocurrency, Information Technology","Hong Kong, Hong Kong Island, Hong Kong",250000.0,Seed,250000.0,Seed,1.0,2018.0,2018-04,20182Q,Loopring Foundation,,,,,Asia-Pacific (APAC),,
Barbara IoT,"Cyber Security, Embedded Software, Internet of Things, Operating Systems, Software","Madrid, Madrid, Spain",83346.0,Grant,,,1.0,2016.0,2018-06,20182Q,EASME - EU Executive Agency for SMEs,,,,,European Union (EU),,
Procurean,"Blockchain, Information Technology, Procurement, SaaS","Ljubljana, Ljubljana Urban Commune, Slovenia",242422.0,Pre-Seed,242422.0,Seed,,2016.0,2018-05,20182Q,,,,,,European Union (EU),,
AISEC,Network Security,"Beijing, Beijing, China",15000000.0,Corporate Round,15000000.0,,1.0,,2018-01,20181Q,Tencent Holdings,,,,,Asia-Pacific (APAC),,
MoFAS,Blockchain,"Seoul, Seoul-t'ukpyolsi, South Korea",20000000.0,Private Equity,20000000.0,Private Equity,,,2018-06,20182Q,,,,,,Asia-Pacific (APAC),,
GODcoin: Gold-on-Demand,"Blockchain, Cryptocurrency, FinTech, Internet of Things, Peer to Peer","San Ysidro, California, United States",50000.0,Seed,50000.0,Seed,,2017.0,2018-03,20181Q,,,,,,Greater San Diego Area, West Coast, Western US
Xenodes,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, FinTech, Marketplace, Sharing Economy","Hong Kong, Hong Kong Island, Hong Kong",50000.0,Seed,50000.0,Seed,,2018.0,2018-05,20182Q,,,,,,Asia-Pacific (APAC),,
Arabtizor,"Blockchain, Cryptocurrency, FinTech","Dubayy, Dubai, United Arab Emirates",13000.0,Seed,13000.0,Seed,,2017.0,2018-03,20181Q,,,,,,Gulf Cooperation Council (GCC),,
Gatsby,Blockchain,"Brooklyn, New York, United States",50000.0,Seed,50000.0,Seed,1.0,2018.0,2018-05,20182Q,Lair East Labs,,,,,Greater New York Area, East Coast, Northeastern US
Nuo,"Cryptocurrency, Financial Services, FinTech, Information Technology","Mumbai, Maharashtra, India",250000.0,Seed,250000.0,Seed,2.0,2018.0,2018-03,20181Q,Amrish Rau, Jitendra Gupta,,,,Asia-Pacific (APAC),,
LoopX,"Cryptocurrency, Finance, Impact Investing",,4500000.0,Initial Coin Offering,4500000.0,,,,2018-02,20181Q,,,,,,,,
BitKan,"Bitcoin, Finance, Trading Platform","Shenzhen, Guangdong, China",10000000.0,Series B,10000000.0,Early Stage Venture,3.0,2014.0,2018-04,20182Q,Bitmain, IDG Capital, Zhongyunhui Capital,,,Asia-Pacific (APAC),,
iDefigo,Security,"Theale, West Berkshire, United Kingdom",1320628.0,Venture - Series Unknown,1320628.0,,1.0,2008.0,2018-06,20182Q,Chelverton Asset Management,,,,,European Union (EU),,
Rubin Way,"Blockchain, Software, Supply Chain Management","Shanghai, Shanghai, China",315000.0,Seed,315000.0,Seed,,2014.0,2018-01,20181Q,,,,,,Asia-Pacific (APAC),,
Bagaj,"Public Safety, Security","Istanbul, Istanbul, Turkey",18500.0,Seed,18500.0,Seed,2.0,,2018-01,20181Q,Istanbul Startup Angels, Nexus Ventures,,,,,,
Elemential,"Blockchain, Developer Tools, Enterprise Software, Information Technology","Mumbai, Maharashtra, India",1000000.0,Seed,1000000.0,Seed,14.0,2017.0,2018-04,20182Q,Alok Mittal, Digital Currency Group, Hinduja Group, Lightspeed India Partners, Matrix Partners India,Asia-Pacific (APAC),,
MOONBLOCK,"Artificial Intelligence, Blockchain, Cryptocurrency, Financial Services, FinTech, Information Technology, Machine Learning, Software","Medellín, Antioquia, Colombia",150000.0,Pre-Seed,150000.0,Seed,,2018.0,2018-03,20181Q,,,,,,,,
Apothēka Systems Inc.,"Artificial Intelligence, Blockchain, Cloud Computing, Health Care, Information Technology, Internet of Things, Medical, Mobile, SaaS, Software",,250000.0,Seed,250000.0,Seed,,2018.0,2018-02,20181Q,,,,,,,,
NGN,"Blockchain, Cryptocurrency, Trading Platform","Baar, Zug, Switzerland",50000.0,Seed,50000.0,Seed,,2018.0,2018-02,20181Q,,,,,,,,
Chexianglian,Blockchain,"Shenzhen, Guangdong, China",20000000.0,Angel,20000000.0,Seed,1.0,2017.0,2018-06,20182Q,Grand Shores Ventures,,,,,Asia-Pacific (APAC),,
CtrlShift.co,"Blockchain, Information Technology, News","New York, New York, United States",130000.0,Seed,130000.0,Seed,1.0,2017.0,2018-04,20182Q,Starta Accelerator,,,,,Greater New York Area, East Coast, Northeastern US
Paymon,"Blockchain, Internet, Payments","Yekaterinburg, Sverdlovsk, Russian Federation",500000.0,Initial Coin Offering,500000.0,,,2016.0,2018-04,20182Q,,,,,,,,
AB-Chain,"Blockchain, Cryptocurrency","Hong Kong, Hong Kong Island, Hong Kong",1850000.0,Initial Coin Offering,1850000.0,,,2017.0,2018-03,20181Q,,,,,,Asia-Pacific (APAC),,
Anbai Technology,"Cloud Computing, Computer, Cyber Security, Internet","Beijing, Beijing, China",9500000.0,Series A,9500000.0,Early Stage Venture,1.0,,2018-03,20181Q,Binhai,,,,,Asia-Pacific (APAC),,
LIC,"Blockchain, Information Technology, Software","Singapore, Central Region, Singapore",300000.0,Pre-Seed,300000.0,Seed,,2018.0,2018-06,20182Q,,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Bizhihui.vip,Blockchain,"Guangzhou, Guangdong, China",1544200.0,Seed,1544200.0,Seed,2.0,2016.0,2018-06,20182Q,OK Blockchain Capital, Shubei Investment,,,,Asia-Pacific (APAC),,
Coinmeet,"Blockchain, Digital Media",,1000000.0,Seed,1000000.0,Seed,2.0,,2018-01,20181Q,BlockVC, Node Capital,,,,,,
BlockchainCybertech Limited,"Artificial Intelligence, Blockchain, Finance, FinTech, Supply Chain Management","Nairobi, Nairobi Area, Kenya",200000.0,Seed,200000.0,Seed,1.0,2018.0,2018-03,20181Q,Shariff Abdulwalli,,,,,,,
Keyrock,"Asset Management, Blockchain, Cryptocurrency, Finance, Financial Services","Woluwé-saint-pierre, Brussels Hoofdstedelijk Gewest, Belgium",1089755.0,Seed,1089755.0,Seed,3.0,2017.0,2018-04,20182Q,Seeder Fund, TNN Capital, Volta Ventures,,,European Union (EU),,
Peoplecard.co,"Blockchain, Debit Cards","Manta, Manabi, Ecuador",150000.0,Seed,150000.0,M&A,1.0,2017.0,2018-02,20181Q,Proasercop S.a,,,,,,,
Parachute8 Inc.,"Blockchain, Identity Management, Information Technology, Privacy, Security","Salida, Colorado, United States",50000.0,Seed,50000.0,Seed,1.0,2017.0,2018-03,20181Q,unknown  ,,,,,Western US,,
Block360.Pro,"Blockchain, Social Media","Beijing, Beijing, China",4421000.0,Series A,4421000.0,Early Stage Venture,5.0,2017.0,2018-04,20182Q,Achain, BeeChat Fund, Goopal Group, Hash Capital, Vancoin Capital,Asia-Pacific (APAC),,
Everproof,"Identity Management, SaaS","Collingwood, Victoria, Australia",1182102.0,Seed,1182102.0,Seed,2.0,2015.0,2018-02,20181Q,Allectus Capital, Reinventure Group,,,,Asia-Pacific (APAC), Australasia,
Bochuangliandong,"Commercial, Data Center, Network Security","Beijing, Beijing, China",15800000.0,Series B,15800000.0,Early Stage Venture,5.0,,2018-04,20182Q,Baidu Ventures, Kexin Capital, The Hina Group, Walden International, Yinxinggu Capital,Asia-Pacific (APAC),,
Block Star,Blockchain,"Xiamen, Fujian, China",1531000.0,Angel,1531000.0,Seed,,2017.0,2018-06,20182Q,,,,,,Asia-Pacific (APAC),,
TACChain,Blockchain,"Beijing, Beijing, China",700000.0,Series A,700000.0,Early Stage Venture,9.0,2015.0,2018-05,20182Q,Chainfo Capital, H. Capital, Happy East Capital, Hyper Fund, Node Capital,Asia-Pacific (APAC),,
EOS,"Blockchain, Cryptocurrency, Infrastructure, Software","Seoul, Seoul-t'ukpyolsi, South Korea",100000000.0,Private Equity,100000000.0,Private Equity,5.0,,2018-03,20181Q,8 Decimal Capital, Block.one, Connect Capital, Hashed, Henry Rouquairol,Asia-Pacific (APAC),,
Thebhub,"Artificial Intelligence, Blockchain, Innovation Management, Social Impact","Nairobi, Nairobi Area, Kenya",100000.0,Seed,100000.0,Seed,1.0,2018.0,2018-03,20181Q,Shariff Abdulwalli,,,,,,,
Slife,Blockchain,"Hangzhou, Zhejiang, China",15000000.0,Angel,15000000.0,Seed,5.0,2018.0,2018-06,20182Q,Canaan Partners, Collinstar Capital, Funcity Capital, Timestamp Capital, Wanxiang Blockchain,Asia-Pacific (APAC),,
Hoo Technology,"Bitcoin, Blockchain, Cryptocurrency","Hong Kong, Hong Kong Island, Hong Kong",4529000.0,Angel,4529000.0,Seed,1.0,2017.0,2018-06,20182Q,Wang Ruixi,,,,,Asia-Pacific (APAC),,
Walnut Exchange,"Blockchain, Financial Services, FinTech","Wellington, Wellington, New Zealand",80399.0,Seed,80399.0,Seed,1.0,2017.0,2018-02,20181Q,H2 Ventures,,,,,Asia-Pacific (APAC), Australasia,
Oneiro,"Blockchain, Computer, Cryptocurrency, Professional Networking","Boston, Massachusetts, United States",3000000.0,Seed,3000000.0,Seed,1.0,2017.0,2018-02,20181Q,COSIMO Ventures,,,,,Greater Boston Area, East Coast, New England
